Number,Pokemon,Type 1,Type 2,HP,Attack,Defense,Speed,Special,GIF,PNG,Description
119,Seaking,Water,,80,92,65,68,80,https://play.pokemonshowdown.com/sprites/bwani/seaking.gif,https://play.pokemonshowdown.com/sprites/bw/seaking.png,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
120,Staryu,Water,,30,45,55,85,70,https://play.pokemonshowdown.com/sprites/bwani/staryu.gif,https://play.pokemonshowdown.com/sprites/bw/staryu.png,An enigmatic Pokemon that can effortlessly regenerate any appendage it loses in battle.
121,Starmie,Water,Psychic,60,75,85,115,100,https://play.pokemonshowdown.com/sprites/bwani/starmie.gif,https://play.pokemonshowdown.com/sprites/bw/starmie.png,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
122,Mr. Mime,Psychic,,40,45,65,90,100,http://play.pokemonshowdown.com/sprites/bwani/mrmime.gif,https://play.pokemonshowdown.com/sprites/bw/mrmime.png,"If interrupted while it is miming, it will slap around the offender with its broad hands."
123,Scyther,Bug,Flying,70,110,80,105,55,https://play.pokemonshowdown.com/sprites/bwani/scyther.gif,https://play.pokemonshowdown.com/sprites/bw/scyther.png,"With ninja-like agility and speed, it can create the illusion that there is more than one."
124,Jynx,Ice,Psychic,65,50,35,95,95,https://play.pokemonshowdown.com/sprites/bwani/jynx.gif,https://play.pokemonshowdown.com/sprites/bw/jynx.png,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
125,Electabuzz,Electric,,65,83,57,105,85,https://play.pokemonshowdown.com/sprites/bwani/electabuzz.gif,https://play.pokemonshowdown.com/sprites/bw/electabuzz.png,"Normally found near power plants, they can wander away and cause major blackouts in cities."
126,Magmar,Fire,,65,95,57,93,85,https://play.pokemonshowdown.com/sprites/bwani/magmar.gif,https://play.pokemonshowdown.com/sprites/bw/magmar.png,Its body always burns with an orange glow that enables it to hide perfectly among flames.
127,Pinsir,Bug,,65,125,100,85,55,https://play.pokemonshowdown.com/sprites/bwani/pinsir.gif,https://play.pokemonshowdown.com/sprites/bw/pinsir.png,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
128,Tauros,Normal,,75,100,95,110,70,https://play.pokemonshowdown.com/sprites/bwani/tauros.gif,https://play.pokemonshowdown.com/sprites/bw/tauros.png,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
129,Magikarp,Water,,20,10,55,80,20,https://play.pokemonshowdown.com/sprites/bwani/magikarp.gif,https://play.pokemonshowdown.com/sprites/bw/magikarp.png,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
130,Gyarados,Water,Flying,95,125,79,81,100,https://play.pokemonshowdown.com/sprites/bwani/gyarados.gif,https://play.pokemonshowdown.com/sprites/bw/gyarados.png,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage."
131,Lapras,Water,Ice,130,85,80,60,95,https://play.pokemonshowdown.com/sprites/bwani/lapras.gif,https://play.pokemonshowdown.com/sprites/bw/lapras.png,A Pokemon that has been overhunted almost to extinction. It can ferry people across the water.
132,Ditto,Normal,,48,48,48,48,48,https://play.pokemonshowdown.com/sprites/bwani/ditto.gif,https://play.pokemonshowdown.com/sprites/bw/ditto.png,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.
133,Eevee,Normal,,55,55,50,55,65,https://play.pokemonshowdown.com/sprites/bwani/eevee.gif,https://play.pokemonshowdown.com/sprites/bw/eevee.png,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
134,Vaporeon,Water,,130,65,60,65,110,https://play.pokemonshowdown.com/sprites/bwani/vaporeon.gif,https://play.pokemonshowdown.com/sprites/bw/vaporeon.png,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.
135,Jolteon,Electric,,65,65,60,130,110,https://play.pokemonshowdown.com/sprites/bwani/jolteon.gif,https://play.pokemonshowdown.com/sprites/bw/jolteon.png,It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts.
136,Flareon,Fire,,65,130,60,65,110,https://play.pokemonshowdown.com/sprites/bwani/flareon.gif,https://play.pokemonshowdown.com/sprites/bw/flareon.png,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
137,Porygon,Normal,,65,60,70,40,75,https://play.pokemonshowdown.com/sprites/bwani/porygon.gif,https://play.pokemonshowdown.com/sprites/bw/porygon.png,A Pokemon that consists entirely of programming code. Capable of moving freely in cyberspace.
138,Omanyte,Rock,Water,35,40,100,35,90,https://play.pokemonshowdown.com/sprites/bwani/omanyte.gif,https://play.pokemonshowdown.com/sprites/bw/omanyte.png,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
139,Omastar,Rock,Water,70,60,125,55,115,https://play.pokemonshowdown.com/sprites/bwani/omastar.gif,https://play.pokemonshowdown.com/sprites/bw/omastar.png,A prehistoric Pokemon that died out when its heavy shell made it impossible to catch prey.
140,Kabuto,Rock,Water,30,80,90,55,45,https://play.pokemonshowdown.com/sprites/bwani/kabuto.gif,https://play.pokemonshowdown.com/sprites/bw/kabuto.png,A Pokemon that was resurrected from a fossil found in what was once the ocean floor eons ago.
141,Kabutops,Rock,Water,60,115,105,80,70,https://play.pokemonshowdown.com/sprites/bwani/kabutops.gif,https://play.pokemonshowdown.com/sprites/bw/kabutops.png,Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids.
142,Aerodactyl,Rock,Flying,80,105,65,130,60,https://play.pokemonshowdown.com/sprites/bwani/aerodactyl.gif,https://play.pokemonshowdown.com/sprites/bw/aerodactyl.png,"A ferocious, prehistoric Pokemon that goes for the enemy's throat with its serrated saw-like fangs."
143,Snorlax,Normal,,160,110,65,30,65,https://play.pokemonshowdown.com/sprites/bwani/snorlax.gif,https://play.pokemonshowdown.com/sprites/bw/snorlax.png,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
144,Articuno,Ice,Flying,90,85,100,85,125,https://play.pokemonshowdown.com/sprites/bwani/articuno.gif,https://play.pokemonshowdown.com/sprites/bw/articuno.png,A legendary bird Pokemon that is said to appear to doomed people who are lost in icy mountains.
145,Zapdos,Electric,Flying,90,90,85,100,125,https://play.pokemonshowdown.com/sprites/bwani/zapdos.gif,https://play.pokemonshowdown.com/sprites/bw/zapdos.png,A legendary bird Pokemon that is said to appear from clouds while dropping enormous lightning bolts.
146,Moltres,Fire,Flying,90,100,90,90,125,https://play.pokemonshowdown.com/sprites/bwani/moltres.gif,https://play.pokemonshowdown.com/sprites/bw/moltres.png,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
147,Dratini,Dragon,,41,64,45,50,50,https://play.pokemonshowdown.com/sprites/bwani/dratini.gif,https://play.pokemonshowdown.com/sprites/bw/dratini.png,Long considered a mythical Pokemon until recently when a small colony was found living underwater.
148,Dragonair,Dragon,,61,84,65,70,70,https://play.pokemonshowdown.com/sprites/bwani/dragonair.gif,https://play.pokemonshowdown.com/sprites/bw/dragonair.png,A mystical Pokemon that exudes a gentle aura. Has the ability to change climate conditions.
149,Dragonite,Dragon,Flying,91,134,95,80,100,https://play.pokemonshowdown.com/sprites/bwani/dragonite.gif,https://play.pokemonshowdown.com/sprites/bw/dragonite.png,An extremely rarely seen marine Pokemon. Its intelligence is said to match that of humans.
150,Mewtwo,Psychic,,106,110,90,130,154,https://play.pokemonshowdown.com/sprites/bwani/mewtwo.gif,https://play.pokemonshowdown.com/sprites/bw/mewtwo.png,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.
151,Mew,Psychic,,100,100,100,100,100,https://play.pokemonshowdown.com/sprites/bwani/mew.gif,https://play.pokemonshowdown.com/sprites/bw/mew.png,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.
